87,138,18,6,0
1,0.25,1,0
1,11,10
1,2,11
2,12,11
2,3,12
3,13,12
3,4,13
4,14,13
4,5,14
5,15,14
5,6,15
6,16,15
6,7,16
7,17,16
7,8,17
8,18,17
8,9,18
10,20,19
10,11,20
11,21,20
11,12,21
12,22,21
12,13,22
13,23,22
13,14,23
14,24,23
14,15,24
15,25,24
15,16,25
16,26,25
16,17,26
17,27,26
17,18,27
19,29,28
19,20,29
20,30,29
20,21,30
21,31,30
21,22,31
22,32,31
22,23,32
23,33,32
23,24,33
24,34,33
24,25,34
25,35,34
25,26,35
26,36,35
26,27,36
27,37,36
28,39,38
28,29,39
29,40,39
29,30,40
30,41,40
30,31,41
31,42,41
31,32,42
32,43,42
32,33,43
33,44,43
33,34,44
34,45,44
34,35,45
35,46,45
35,36,46
36,47,46
36,37,47
37,48,47
47,48,59
48,49,59
38,39,50
39,51,50
39,40,51
40,52,51
40,41,52
41,53,52
41,42,53
42,54,53
42,43,54
43,55,54
43,44,55
44,56,55
44,45,56
45,57,56
45,46,57
46,58,57
46,47,58
47,60,58
47,59,60
50,51,61
51,62,61
51,52,62
52,63,62
52,53,63
53,64,63
53,54,64
54,65,64
54,55,65
55,66,65
55,56,66
56,67,66
56,57,67
57,68,67
57,58,68
58,69,68
58,60,69
61,62,70
62,71,70
62,63,71
63,72,71
63,64,72
64,73,72
64,65,73
65,74,73
65,66,74
66,75,74
66,67,75
67,76,75
67,68,76
68,77,76
68,69,77
69,78,77
70,71,79
71,80,79
71,72,80
72,81,80
72,73,81
73,82,81
73,74,82
74,83,82
74,75,83
75,84,83
75,76,84
76,85,84
76,77,85
77,86,85
77,78,86
78,87,86
3,0
3.5,0
4.5,0
6.5,0
9.5,0
12.5,0
16,0
20,0
24,0
2.942,0.585
3.433,0.683
4.414,0.878
6.375,1.271
9.318,1.853
12.26,2.439
15.693,3.121
19.616,3.902
24,4.774
2.772,1.1481
3.2336,1.3394
4.1575,1.7221
6.0052,2.4874
8.7769,3.6355
11.5485,4.7835
14.7821,6.1229
18.4776,7.6537
24,9.9411
2.4944,1.6667
2.9101,1.9445
3.7416,2.5001
5.4046,3.6112
7.899,5.2779
10.3934,6.9446
13.3035,8.8891
16.6294,11.1114
19.9553,13.3337
24.0,16.0363
2.1213,2.1213
2.4749,2.4749
3.182,3.182
4.5962,4.5962
6.7175,6.7175
8.8388,8.8388
11.3137,11.3137
14.1421,14.1421
16.9706,16.9706
20.0181,20.0181
24.0,20.0181
24.0,24.0
1.6667,2.4944
1.9445,2.9101
2.5001,3.7416
3.6112,5.4046
5.2779,7.899
6.9446,10.3934
8.8822,13.2931
11.1114,16.6294
13.3337,19.9553
20.0181,24.0
16.0363,24.0
1.1481,2.7716
1.3394,3.2336
1.7221,4.1575
2.4874,6.0052
3.6355,8.7769
4.7835,11.5485
6.1229,14.7821
7.6537,18.4776
9.9411,24.0
0.5853,2.9424
0.6828,3.4327
0.8779,4.4135
1.2681,6.3751
1.8534,9.3175
2.4386,12.2598
3.1214,15.6926
3.9018,19.6157
4.7739,24.0
0.0,3.0
0.0,3.5
0.0,4.5
0.0,6.5
0.0,9.5
0.0,12.5
0.0,16.0
0.0,20.0
0.0,24.0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
9,1.0,0.0
18,1.0,0.0
27,1.0,0.0
37,1.0,0.0
48,1.0,0.0
49,1.0,0.0
